# TOPAS Version: 3.9
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose1
# Scored in component: Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1000
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose3
# Scored in component: 3Microtitulacao
# DoseToMedium ( Gy ) : Sum
2.499321062610083e-12
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose31
# Scored in component: 31Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 0, 1"
"1, 0.001, 0"
"2, 0.002, 0"
"3, 0.003, 0"
"4, 0.004, 0"
"5, 0.005, 0"
"6, 0.006, 0"
"7, 0.007, 0"
"8, 0.008, 0"
"9, 0.009000000000000001, 0"
"10, 0.01, 0"
"11, 0.011, 0"
"12, 0.012, 0"
"13, 0.013, 0"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose31
# Scored in component: 31Microtitulacao
# DoseToMedium ( Gy ) : Sum
1.491987550216248e-14
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose32
# Scored in component: 32Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 0, 1"
"1, 0.001, 0"
"2, 0.002, 0"
"3, 0.003, 0"
"4, 0.004, 0"
"5, 0.005, 0"
"6, 0.006, 0"
"7, 0.007, 0"
"8, 0.008, 0"
"9, 0.009000000000000001, 0"
"10, 0.01, 0"
"11, 0.011, 0"
"12, 0.012, 0"
"13, 0.013, 0"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose32
# Scored in component: 32Microtitulacao
# DoseToMedium ( Gy ) : Sum
1.332517971831815e-12
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose33
# Scored in component: 33Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 0, 1"
"1, 0.001, 0"
"2, 0.002, 0"
"3, 0.003, 0"
"4, 0.004, 0"
"5, 0.005, 0"
"6, 0.006, 0"
"7, 0.007, 0"
"8, 0.008, 0"
"9, 0.009000000000000001, 0"
"10, 0.01, 0"
"11, 0.011, 0"
"12, 0.012, 0"
"13, 0.013, 0"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose33
# Scored in component: 33Microtitulacao
# DoseToMedium ( Gy ) : Sum
5.223147001715001e-12
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose34
# Scored in component: 34Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 0, 1"
"1, 0.001, 0"
"2, 0.002, 0"
"3, 0.003, 0"
"4, 0.004, 0"
"5, 0.005, 0"
"6, 0.006, 0"
"7, 0.007, 0"
"8, 0.008, 0"
"9, 0.009000000000000001, 0"
"10, 0.01, 0"
"11, 0.011, 0"
"12, 0.012, 0"
"13, 0.013, 0"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose34
# Scored in component: 34Microtitulacao
# DoseToMedium ( Gy ) : Sum
2.123093801459364e-12
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose4
# Scored in component: 4Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 0, 1"
"1, 0.001, 0"
"2, 0.002, 0"
"3, 0.003, 0"
"4, 0.004, 0"
"5, 0.005, 0"
"6, 0.006, 0"
"7, 0.007, 0"
"8, 0.008, 0"
"9, 0.009000000000000001, 0"
"10, 0.01, 0"
"11, 0.011, 0"
"12, 0.012, 0"
"13, 0.013, 0"
"14, 0.014, 0"
"15, 0.015, 0"
"16, 0.016, 0"
"17, 0.017, 0"
"18, 0.018, 0"
"19, 0.019, 0"
"20, 0.02, 0"
"21, 0.021, 0"
"22, 0.022, 0"
"23, 0.023, 0"
"24, 0.024, 0"
"25, 0.025, 0"
"26, 0.026, 0"
"27, 0.027, 0"
"28, 0.028, 0"
"29, 0.029, 0"
"30, 0.03, 0"
"31, 0.031, 0"
"32, 0.032, 0"
"33, 0.033, 0"
"34, 0.034, 0"
"35, 0.035, 0"
"36, 0.036, 0"
"37, 0.037, 0"
"38, 0.038, 0"
"39, 0.039, 0"
"40, 0.04, 0"
"41, 0.041, 0"
"42, 0.042, 0"
"43, 0.043, 0"
"44, 0.044, 0"
"45, 0.045, 0"
"46, 0.046, 0"
"47, 0.047, 0"
"48, 0.048, 0"
"49, 0.049, 0"
"50, 0.05, 0"
"51, 0.051, 0"
"52, 0.052, 0"
"53, 0.053, 0"
"54, 0.054, 0"
"55, 0.055, 0"
"56, 0.056, 0"
"57, 0.057, 0"
"58, 0.058, 0"
"59, 0.059, 0"
"60, 0.06, 0"
"61, 0.061, 0"
"62, 0.062, 0"
"63, 0.063, 0"
"64, 0.064, 0"
"65, 0.065, 0"
"66, 0.066, 0"
"67, 0.067, 0"
"68, 0.068, 0"
"69, 0.06900000000000001, 0"
"70, 0.07000000000000001, 0"
"71, 0.07100000000000001, 0"
"72, 0.07200000000000001, 0"
"73, 0.073, 0"
"74, 0.074, 0"
"75, 0.075, 0"
"76, 0.076, 0"
"77, 0.077, 0"
"78, 0.078, 0"
"79, 0.079, 0"
"80, 0.08, 0"
"81, 0.081, 0"
"82, 0.082, 0"
"83, 0.083, 0"
"84, 0.08400000000000001, 0"
"85, 0.08500000000000001, 0"
"86, 0.08600000000000001, 0"
"87, 0.08700000000000001, 0"
"88, 0.08799999999999999, 0"
"89, 0.089, 0"
"90, 0.09, 0"
"91, 0.091, 0"
"92, 0.092, 0"
"93, 0.093, 0"
"94, 0.094, 0"
"95, 0.095, 0"
"96, 0.096, 0"
"97, 0.097, 0"
"98, 0.098, 0"
"99, 0.099, 0"
# Parameter File: simulacao.txt
# Results for scorer: HistogramaDose4
# Scored in component: 4Microtitulacao
# DoseToMedium ( Gy ) : Sum
2.84588406443062e-13
